ID,Match Level,Match #,Team #,Auto Miss Location
5920,qm,19,8861,158
5921,qm,19,8861,286
5922,qm,19,9040,128
5923,qm,19,9040,55
5924,qm,19,9402,49
5925,qm,19,9402,11
5926,qm,19,9404,75
5927,qm,19,9404,267
5928,qm,20,9693,63
5929,qm,20,9693,230
5930,qm,21,2152,260
5931,qm,21,2383,80
5932,qm,21,3173,122
5933,qm,21,3390,250
5934,qm,22,348,186
5935,qm,22,3627,23
5936,qm,22,3932,254
5937,qm,22,3932,157
5938,qm,22,4206,144
5939,qm,22,4388,147
5940,qm,22,5410,176
5941,qm,22,5410,243
5942,qm,23,5472,228
5943,qm,23,5472,252
5944,qm,23,5557,230
5945,qm,23,5842,18
5946,qm,23,59,155
5947,qm,23,59,275
5948,qm,23,6300,82
5949,qm,24,6317,260
5950,qm,24,744,265
5951,qm,24,7652,1
5952,qm,25,806,285
5953,qm,25,8752,180
5954,qm,25,8817,241
5955,qm,25,8817,0
5956,qm,25,8861,27
5957,qm,26,9040,189
5958,qm,26,9402,115
5959,qm,26,9404,282
5960,qm,26,9404,85
5961,qm,26,9779,35
5962,qm,26,9779,124
5963,qm,27,108,167
5964,qm,27,108,111
5965,qm,27,1523,84
5966,qm,27,179,77
5967,qm,27,179,6
5968,qm,27,180,2
5969,qm,28,2383,45
5970,qm,28,3390,46
5971,qm,28,348,264
5972,qm,28,348,31
5973,qm,28,3627,76
5974,qm,28,3932,51
5975,qm,28,3932,249
5976,qm,29,4206,284
5977,qm,29,4388,214
5978,qm,29,5410,284
5979,qm,29,5410,13
5980,qm,29,5472,244
5981,qm,29,5557,249
5982,qm,29,5842,168
5983,qm,29,5842,58
5984,qm,30,5872,158
5985,qm,30,5872,190
5986,qm,30,59,16
5987,qm,30,59,229
5988,qm,30,6300,277
5989,qm,30,6300,143
5990,qm,30,6743,48
5991,qm,30,6743,35
5992,qm,31,744,230
5993,qm,31,744,255
5994,qm,31,806,171
5995,qm,31,806,105
5996,qm,32,8817,255
5997,qm,32,8861,260
5998,qm,32,9404,200
5999,qm,32,9404,32
6000,qm,33,9693,166
6001,qm,33,9693,112
6002,qm,33,9725,44
6003,qm,33,108,268
6004,qm,33,108,120
6005,qm,33,1523,151
6006,qm,34,2152,159
6007,qm,34,2383,120
6008,qm,34,3173,171
6009,qm,34,3390,148
6010,qm,35,3627,86
6011,qm,35,3932,68
6012,qm,35,3932,235
6013,qm,35,4206,33
6014,qm,35,4388,2
6015,qm,35,4388,265
6016,qm,36,5472,66
6017,qm,36,5472,238
6018,qm,36,5557,92
6019,qm,36,5557,232
6020,qm,36,5842,186
6021,qm,36,5842,136
6022,qm,36,5872,76
6023,qm,36,5872,76
6024,qm,37,6317,234
6025,qm,37,6686,183
6026,qm,37,6686,92
6027,qm,37,6743,161
6028,qm,37,694,123
6029,qm,37,694,124
6030,qm,37,7652,173
6031,qm,38,7833,95
6032,qm,38,806,61
6033,qm,38,8752,133
6034,qm,38,8817,178
6035,qm,38,8861,250
6036,qm,39,9402,39
6037,qm,39,9402,213
6038,qm,39,9404,143
6039,qm,39,9693,79
6040,qm,39,9693,170
6041,qm,39,9779,128
6042,qm,40,108,259
6043,qm,40,108,85
6044,qm,40,1744,41
6045,qm,40,1744,70
6046,qm,40,179,250
6047,qm,40,179,197
6048,qm,40,180,243
6049,qm,40,180,266
6050,qm,41,3173,68
6051,qm,41,348,173
6052,qm,41,348,78
6053,qm,41,3627,100
6054,qm,41,3627,125
6055,qm,42,4206,234
6056,qm,42,4206,39
6057,qm,42,4388,181
6058,qm,42,5410,186
6059,qm,42,5410,235
6060,qm,42,5557,146
6061,qm,42,5557,26
6062,qm,42,5842,150
6063,qm,42,5842,251
6064,qm,43,6300,36
6065,qm,43,6686,80
6066,qm,43,6743,250
6067,qm,43,6743,149
6068,qm,44,694,180
6069,qm,44,7833,120
6070,qm,44,806,227
6071,qm,44,8752,96
6072,qm,45,8775,70
6073,qm,45,9040,49
6074,qm,45,9040,144
6075,qm,45,9404,123
6076,qm,46,9693,287
6077,qm,46,9725,283
6078,qm,46,9779,158
6079,qm,46,9779,164
6080,qm,46,108,79
6081,qm,46,108,198
6082,qm,46,1523,223
6083,qm,46,1744,271
6084,qm,46,1744,271
6085,qm,47,179,41
6086,qm,47,179,21
6087,qm,47,180,254
6088,qm,47,180,84
6089,qm,47,2152,70
6090,qm,47,3173,102
6091,qm,48,3627,259
6092,qm,48,3627,119
6093,qm,49,5557,237
6094,qm,49,59,73
6095,qm,49,59,240
6096,qm,49,6300,169
6097,qm,50,6317,239
6098,qm,50,6686,161
6099,qm,50,6686,66
6100,qm,50,6743,229
6101,qm,50,6743,211
6102,qm,50,694,198
6103,qm,50,744,220
6104,qm,50,7652,59
6105,qm,50,7652,99
6106,qm,51,806,132
6107,qm,51,806,39
6108,qm,51,8752,286
6109,qm,51,8775,245
6110,qm,51,8775,194
6111,qm,51,8817,203
6112,qm,51,8817,275
6113,qm,51,8861,79
6114,qm,51,8861,97
6115,qm,52,9040,40
6116,qm,52,9040,66
6117,qm,52,9402,91
6118,qm,52,9693,55
6119,qm,53,108,86
6120,qm,53,1523,42
6121,qm,53,1523,142
6122,qm,53,1744,46
6123,qm,53,180,103
6124,qm,53,2152,155
6125,qm,53,2152,249
6126,qm,54,3173,259
6127,qm,54,3173,60
6128,qm,54,3390,277
6129,qm,54,3390,86
6130,qm,54,3932,217
6131,qm,55,5410,60
6132,qm,55,5410,19
6133,qm,55,5842,78
6134,qm,56,59,238
6135,qm,56,59,66
6136,qm,56,6300,252
6137,qm,56,6300,186
6138,qm,56,6686,170
6139,qm,56,6743,196
6140,qm,56,6743,217
6141,qm,57,694,233
6142,qm,57,744,229
6143,qm,57,7652,230
6144,qm,57,806,178
6145,qm,57,806,172
6146,qm,58,8775,110
6147,qm,58,8775,213
6148,qm,58,8861,282
6149,qm,58,8861,21
6150,qm,58,9040,147
6151,qm,58,9402,53
6152,qm,58,9404,275
6153,qm,58,9404,34
6154,qm,59,9693,252
6155,qm,59,9725,135
6156,qm,59,9779,213
6157,qm,59,9779,19
6158,qm,59,108,203
6159,qm,59,1744,148
6160,qm,60,179,64
6161,qm,60,179,108
6162,qm,60,2152,231
6163,qm,60,2383,32
6164,qm,60,3173,250
6165,qm,60,3390,24
6166,qm,60,3390,4
6167,qm,61,3627,87
6168,qm,61,3627,286
6169,qm,61,3932,67
6170,qm,61,3932,46
6171,qm,61,4206,179
6172,qm,61,4206,200
6173,qm,61,4388,179
6174,qm,61,5410,123
6175,qm,62,59,8
6176,qm,62,59,147
6177,qm,62,6300,146
6178,qm,62,6300,29
6179,qm,63,6317,14
6180,qm,63,694,10
6181,qm,63,7652,168
6182,qm,64,7833,212
6183,qm,64,806,156
6184,qm,64,806,161
6185,qm,64,8752,209
6186,qm,64,8752,86
6187,qm,64,8817,78
6188,qm,64,8817,127
6189,qm,64,8861,6
6190,qm,64,8861,203
6191,qm,65,9040,41
6192,qm,65,9402,112
6193,qm,65,9693,149
6194,qm,65,9779,107
6195,qm,66,108,92
6196,qm,66,108,186
6197,qm,66,1523,182
6198,qm,66,180,123
6199,qm,66,2152,51
6200,qm,66,2152,83
6201,qm,67,3390,61
6202,qm,68,4206,111
6203,qm,68,4206,113
6204,qm,68,4388,18
6205,qm,68,5410,67
6206,qm,68,5410,165
6207,qm,68,5472,270
6208,qm,68,5472,218
6209,qm,68,5557,50
6210,qm,68,5557,264
6211,qm,68,5842,203
6212,qm,68,5842,10
6213,qm,69,59,180
6214,qm,69,59,280
6215,qm,69,6300,158
6216,qm,69,6300,46
6217,qm,70,7652,108
6218,qm,70,7652,84
6219,qm,70,7833,96
6220,qm,70,7833,178
6221,qm,70,806,34
6222,qm,70,806,34
6223,qm,70,8752,175
6224,qm,70,8752,121
6225,qm,71,8775,119
6226,qm,71,8775,208
6227,qm,71,8861,233
6228,qm,71,8861,109
6229,qm,71,9404,25
6230,qm,72,9693,255
6231,qm,72,9693,280
6232,qm,72,9725,71
6233,qm,72,9725,234
6234,qm,72,108,122
6235,qm,72,1744,81
6236,qm,72,1744,267
6237,qm,73,180,14
6238,qm,73,2152,212
6239,qm,73,2383,130
6240,qm,73,3173,124
6241,qm,73,3390,148
6242,qm,73,3390,76
6243,qm,74,348,47
6244,qm,74,3627,162
6245,qm,74,4206,224
6246,qm,74,4388,269
6247,qm,74,4388,242
6248,qm,75,5557,86
6249,qm,75,5557,88
6250,qm,75,5842,214
6251,qm,75,5842,132
6252,qm,75,59,11
6253,qm,75,59,79
6254,qm,75,6300,129
6255,qm,75,6300,80
6256,qm,76,6686,44
6257,qm,76,6686,229
6258,qm,76,6743,133
6259,qm,76,694,269
6260,qm,76,744,227
6261,qm,76,744,123
6262,qm,76,7652,203
6263,qm,77,7833,237
6264,qm,77,806,119
6265,qm,77,8752,211
6266,qm,77,8775,103
6267,qm,77,8817,169
6268,qm,77,8817,150
6269,qm,77,8861,172
6270,qm,78,9402,285
6271,qm,78,9693,245
6272,qm,78,9725,144
6273,qm,79,108,85
6274,qm,79,1523,117
6275,qm,79,179,145
6276,qm,79,180,275
6277,qm,79,180,172
6278,qm,79,2152,244
6279,qm,79,2152,6
6280,qm,80,2383,283
6281,qm,80,2383,138
6282,qm,80,3173,188
6283,qm,80,3390,279
6284,qm,80,348,193
6285,qm,80,348,241
6286,qm,80,3932,241
6287,qm,81,4388,210
6288,qm,81,5410,228
6289,qm,81,5472,98
6290,qm,81,5472,129
6291,qm,81,5557,198
6292,qm,81,5557,129
6293,qm,82,5872,285
6294,qm,82,6300,114
6295,qm,82,6743,251
6296,qm,83,694,84
6297,qm,83,694,277
6298,qm,83,744,276
6299,qm,83,744,281
6300,qm,83,7652,166
6301,qm,83,7652,166
6302,qm,83,7833,121
6303,qm,83,7833,128
6304,qm,83,8752,31
6305,qm,84,8817,37
6306,qm,84,8817,41
6307,qm,84,8861,209
6308,qm,84,8861,22
6309,qm,84,9402,202
6310,qm,84,9402,77
6311,qm,85,9693,39
6312,qm,85,9693,277
6313,qm,85,9725,93
6314,qm,85,9725,93
6315,qm,85,9779,61
6316,qm,85,9779,66
6317,qm,85,108,271
6318,qm,85,1523,170
6319,qm,85,1744,196
6320,qm,86,179,63
6321,qm,86,2152,109
6322,qm,86,2152,232
6323,qm,86,2383,251
6324,qm,86,3390,122
6325,qm,86,3390,128
6326,qm,87,348,211
6327,qm,87,3627,62
6328,qm,87,3627,118
6329,qm,87,3932,237
6330,qm,87,4206,125
6331,qm,87,5410,251
6332,qm,88,5472,84
6333,qm,88,5472,287
6334,qm,88,5557,66
6335,qm,88,5872,153
6336,qm,88,5872,268
6337,qm,88,59,29
6338,qm,88,59,98
6339,qm,89,6686,233
6340,qm,89,6686,94
6341,qm,89,744,269
6342,qm,89,7652,149
6343,qm,90,806,209
6344,qm,90,8752,281
6345,qm,90,8752,38
6346,qm,90,8817,2
6347,qm,90,8817,6
6348,qm,90,8861,150
6349,qm,90,8861,29
6350,qm,91,9040,166
6351,qm,91,9040,188
6352,qm,92,1523,166
6353,qm,92,1744,114
6354,qm,92,2152,31
6355,qm,92,2152,224
6356,qm,93,2383,134
6357,qm,93,3173,15
6358,qm,93,3390,163
6359,qm,93,3390,66
6360,qm,93,348,81
6361,qm,93,3932,122
6362,qm,93,3932,35
6363,qm,94,4206,108
6364,qm,94,4206,259
6365,qm,94,4388,38
6366,qm,94,5410,263
6367,qm,94,5410,95
6368,qm,94,5472,193
6369,qm,94,5842,83
6370,qm,95,59,140
6371,qm,95,59,162
6372,qm,95,6300,236
6373,qm,95,6317,6
6374,qm,95,6743,74
6375,qm,96,744,115
6376,qm,96,744,70
6377,qm,96,7652,256
6378,qm,96,7652,235
6379,qm,96,7833,148
6380,qm,96,806,0
6381,qm,96,8752,251
6382,qm,97,8861,187
6383,qm,97,9040,222
6384,qm,97,9040,127
6385,qm,97,9402,151
6386,qm,98,9693,61
6387,qm,98,9725,276
6388,qm,98,9725,214
6389,qm,98,108,125
6390,qm,98,1523,221
6391,qm,98,1523,54
6392,qm,98,1744,197
6393,qm,99,179,66
6394,qm,99,2383,103
6395,qm,99,3173,152
6396,qm,100,348,163
6397,qm,100,348,87
6398,qm,100,3627,182
6399,qm,100,3627,253
6400,qm,100,3932,64
6401,qm,100,3932,238
6402,qm,100,4388,243
6403,qm,100,5410,169
