Event,Team number,Width,Length,Weight,Drivetrain,Other Drivetrain,Swerve Ratio,Drivetrain Motor,Batteries,Pickup Floor Coral,Pickup Floor Algae,How To Feed Robot,Autos,Scouting Method,comment,Fish-like,Fish-like explaination,Survive Water Game,Water Game Explaination
2025dal,537,28,28,110,Swerve,,4,Kraken,5,N,N,Vertical,2l4,Google sheets,None,N,Swimmy,N,Will sink
2025dal,494,34,31,110.5,Swerve,,2,Kraken,6,N,Y,Horizontal,2l4 or 1l4 and net,Paper,"5-7 sec cycle, deep climb",Y,Named flounder ,N,
2025dal,1678,34,34,112,Swerve,,3,Kraken,12,Y,N,Other,None full,Custom,,Y,"Electric eel, fishlike activity",N,
2025dal,418,37,37,115,Swerve,,4,Kraken,12,N,N,Vertical,3l4,,10 sec cycle,Y,Angler ,Y,Confident they can make a submarine
2025dal,1369,34,34,130,Swerve,,2,Kraken,10,N,Y,Vertical,L4 barge,Google sheet,"No climb, 6-7 cycle average",N,,N,
2025dal,3792,34,34,11.6,Swerve,,2,Falcon,7,N,Y,Horizontal,"3L1, 2L1",App,,N,,N,
2025dal,3297,34,35,127,Swerve,,3,Kraken,7,Y,Y,Other,2 L4 1L4 1Barge,Forms,,N,,N,
2025dal,4655,35,35,130,Swerve,,3,Kraken,8,N,Y,Either,"2 L4 2 algae processor or barge, 1L4 middle",App,,N,,N,
2025dal,6911,39,36,130,Swerve,,2,Kraken,12,N,Y,Either,"L4 3 piece, middle is 1 l4 2 barge algea",Rld imput app,,N,,N,
2025dal,3891,34,34,117,Swerve,,1,Kraken,11,N,N,Either,2 L4,No scouting ,,N,,N,
2025dal,9432,37,37,115,Swerve,,1,Kraken,12,N,Y,Either,"3 L4, middle 1L4 and Algea net",Not scouting ,,N,,N,
2025dal,6832,40,45,85,Mechanum,,x,Neo,4,N,Y,Horizontal,1 coral L1,,"11-14 cycles, added algae intake and score in processor, built climber but untested ",N,,N,
2025dal,179,32,32,126,Swerve,,3,Kraken,12,Y,N,Other,"3 1/2 L4 both sides, start side go front L4 L3 (3 1/2)",Google sheets ,"16-17 cycles, programming changes( new auto)",N,,N,
2025dal,4967,38,38,130,Swerve,,1,Neo,9,Y,Y,Either,"3 L4 both sides, center one L4 2 algae",App,"12-17 cycles, no major changes ",N,,N,
2025dal,4451,35,35,128,Swerve,,o,Neo,7,N,Y,Either,"3 L4 both sides, center one L4 2 barge ",Paper scouting ,"18-20 cycles, made robot more automatic, climb and elevator speeds",N,,N,
2025dal,4451,35,35,128,Swerve,,o,Neo,7,N,Y,Either,"3 L4 both sides, center one L4 2 barge ",Paper scouting ,"18-20 cycles, made robot more automatic, climb and elevator speeds",N,,N,
2025dal,4005,40,35,111,Swerve,,4,Neo,10,N,Y,Vertical,2 L4 both sides ,Paper sheets and spreadsheet ,"7-12 cycles, more driver practice ",N,,N,
exi
